No,NaptanCode,CommonName
536,73727253,Post Office
537,73728379,War Memorial
538,73727393,School
539,73727256,Primary School
540,73724878,Drumness Farm
541,73724532,Drumness Farm
542,73724892,War Memorial
543,73724537,War Memorial
544,73728243,Cedarwood
545,73728475,Cedarwood
546,73723765,Road End
547,73724542,Primary School
548,73724867,Primary School
549,73725497,Post Office
550,73723637,Post Office
551,73724642,Road End
552,73724256,Road End
553,73724985,Road End
554,73724353,Road End
555,73723538,Garden Centre
556,73725476,Garden Centre
557,73725462,Post Office
558,73723647,Post Office
559,73725389,Gleneagles Station Road End
560,73725892,Craig Place
561,73725893,Craig Place
562,73725894,Bellyclone
563,73725895,DEL-Bellyclone
564,73724896,James Square
565,73728438,High School
566,73725467,Corlundy Crescent
567,73724968,Duchlage Court
568,73724235,Highland Crescent
569,73725469,Turretbank Place
570,73725472,Abbots Walk
571,73725878,Isle Cottage
572,73725879,DEL-Gorthy Toll
573,73725875,Abbey Farm
574,73725876,Abbey Farm
575,73725364,Fowlis Wester Road End
576,73723293,Fowlis Wester Road End
577,73727237,Grace Cottage
578,73727238,Grace Cottage
579,73723262,Murrayfield Loan
580,73726969,Old Post Office
581,73726968,Telephone Box
582,73726967,Telephone Box
583,73726965,Bridgend of Ardittie
584,73726978,Almond Grove
585,73726926,ASDA Entrance
586,73724792,Balnadrum Terrace
587,73727464,West Road End
588,73727459,The Grove
589,73727458,The Grove
590,73725658,Green
591,73723573,Abernyte Link Road
592,73723578,Church
593,73725696,Church
594,73725723,Eastbank Place
595,73727463,Castle Huntly Gates
596,73727462,Castle Huntly Gates
597,73725726,The Green
598,73725725,The Green
599,73723584,Carselea Road
600,73725672,Mylnefield Road
601,73725957,Hotel
602,73725958,Hotel
603,73725795,Drumdewan Road End
604,73725796,Drumdewan Road End
605,73726287,Hotel
606,73726289,Hotel
607,73726292,War Memorial
608,73726293,War Memorial
609,73725797,Hotel
610,73725798,Hotel
611,73726249,Village Hall
612,73726252,Village Hall
613,73727394,Hotel
614,73727395,Hotel
615,73726934,Cross
616,73727252,Willoughby Street
617,73727249,Willoughby Street
618,73726963,Comrie road end
619,73726964,Comrie road end
620,73726384,Smiddy Brae
621,73726385,Smiddy Brae
622,73726983,School Bus Park
623,73726976,Rowan Cottage
624,73725956,Rowan Cottage
625,73724539,Commissioner Street
626,73724245,Road End
627,73724578,Road End
628,73724373,Farm Road End
629,73724597,Farm Road End
630,73724628,Kirk
631,73724238,Kirk
632,73724289,The Blind Inn
633,73724286,The Blind Inn
634,73725245,Farm
635,73724292,Farm
636,73724232,Park Village
637,73724248,Hotel
638,73724249,Hotel
639,73724252,Scotston
640,73724785,Scotston
641,73734245,Murrayfield Loan
642,73723753,Mid Fordun Road End
643,73724827,Mid Fordun Road End
644,73725374,Strathallan Airfield
645,73723236,Strathallan Airfield
646,73723237,Ladyston
647,73725375,Ladyston
648,73723762,Easthill
649,73724748,Easthill
650,73727259,Glenorchil View
651,73727258,Glenorchil View
652,73723973,Loaninghead Flyover
653,73724764,Peterhead Farm Road End
654,73724784,Frandy Farm
655,73723974,Frandy Farm
656,73724754,Tormaukin Hotel
657,73723987,Tormaukin Hotel
658,73727534,Glenorchill Terrace
659,73726837,Mayfield road end
660,73726838,Mayfield road end
661,73726563,Scarth Road
662,73726839,Telephone Exchange
663,73726836,Loanfoot Cottage
664,73726835,Loanfoot Cottage
665,73729629,Mill Road
666,73723498,Kinfauns Castle
667,73723574,Store
668,73725728,Store
669,73723565,Cross
670,73725687,Dalgleish House
671,73723572,Bus Shelter
672,73725694,Bus Shelter
673,73725498,Flyover
674,73723726,Templehall Road End
675,73724762,Templehall Road End
676,73725676,Primary School
677,73725675,Primary School
678,73727536,Crown Car Park
679,73723523,Mountview
680,73725654,Mountview
681,73724759,Coach House
682,73724735,Coach House
683,73725234,Meadow Place
684,73726389,DEL-Kinbuck Primary School
685,73732425,Bohally
686,73732547,Bohally
687,73726358,Deer Park
688,73726359,Deer Park
689,73726937,Creagan
690,73726938,Creagan
691,73726936,Hotel
692,73726935,Hotel
693,73793248,Alexander Drive
694,73725793,Road End
695,73725794,Road End
696,73723896,East Haugh
697,73724826,East Haugh
698,73726948,Donavourd
699,73726949,Donavourd
700,73726946,Distillery
701,73726947,Distillery
